Parameter,Recommended values
a_lc,5.65325
Eg_Gamma,1.519
a(Gamma),0.5405
b(Gamma),204
Eg_Chi,1.981
a(Chi),0.460
b(Chi),204
Eg_L,1.815
a(L),0.605
b(L),204
Delta_so,0.341
m_e*(Gamma),0.067
m_l*(L),1.9
m_t*(L),0.0754
m_DOS*(L),0.56
m_l*(Chi),1.3
m_t*(Chi),0.23
m_DOS*(Chi),0.85
gamma_1,6.98
gamma_2,2.06
gamma_3,2.93
m_so*,0.172
E_P,28.8
F,-1.94
VBO,-0.80
a_c,-7.17
a_v,-1.16
b,-2.0
d,-4.8
c_11,1221
c_12,566
c_44,600
