Parameter,Recommended values
a_lc,6.1355
Eg_Gamma,2.386
a(Gamma),0.42
b(Gamma),140
Eg_Chi,1.696
a(Chi),0.39
b(Chi),140
Eg_L,2.329
a(L),0.58
b(L),140
Delta_so,0.676
m_e*(Gamma),0.14
m_l*(L),1.64
m_t*(L),0.23
m_l*(Chi),1.357
m_t*(Chi),0.123
gamma_1,5.18
gamma_2,1.19
gamma_3,1.97
m_so*,0.22
E_P,18.7
F,-0.56
VBO,-0.41
a_c,-4.5
a_v,-1.4
b,-1.35
d,-4.3
c_11,876.9
c_12,434.1
c_44,407.6
