Parameter,Recommended values
a_lc,5.6611
Eg_Gamma,3.099
a(Gamma),0.885
b(Gamma),530
Eg_Chi,2.24
a(Chi),0.70
b(Chi),530
Eg_L,2.46
a(L),0.605
b(L),204
Delta_so,0.28
m_e*(Gamma),0.15
m_l*(L),1.32
m_t*(L),0.15
m_DOS*(L),0.56
m_l*(Chi),0.97
m_t*(Chi),0.22
gamma_1,3.76
gamma_2,0.82
gamma_3,1.42
m_so*,0.28
E_P,21.1
F,-0.48
VBO,-1.33
a_c,-5.64
a_v,-2.47
b,-2.3
d,-3.4
c_11,1250
c_12,534
c_44,542
