Parameter,Recommended values
Eg_Gamma,0.477
Eg_Chi,1.4
Eg_L,0.33
Delta_so,0.15
m_e*(Gamma),0.0091
m_hh*(001),-0.145
m_lh*(001),0.0202
gamma_3-gamma_2,0.481
E_P,-1.48
F,1.77
VBO,-0.38
a_c,2.61

